252655508408893441,282072436785283082,341.8
406678409981329408,477957232592683008,52
362399305371484161,736169793895399428,392
620085191251329043,629387867294007300,699.4
365652852556955648,489427466251927562,3934.6
365652852556955648,538239131738832896,2613.4
697716176242868265,436641691496349696,9
523358714246201365,681036422597181505,131.4
362399305371484161,736169793895399428,356
477957232592683008,221547757050003456,131.4
309141235367673859,447529942088024075,9
697716176242868265,447529942088024075,9
620085191251329043,629387867294007300,647.4
282072436785283082,257772464233250816,104
215635379305316353,257772464233250816,99
697716176242868265,531405264088334366,26
218158512268640256,692587053199786035,1988
692587053199786035,366367189999026198,9
692587053199786035,489427466251927562,224.9
692587053199786035,538239131738832896,9
236565898322903040,235088799074484224,104.0
282072436785283082,235088799074484224,156.0
204038502587826177,235088799074484224,52.0
236565898322903040,236565898322903040,52.0
159985870458322944,236565898322903040,0.0
498519480985583636,236565898322903040,364.0
